t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.244,0,-7.306449890136719,-98.96177673339844,93.66720581054688,59.599952697753906,-10.072219848632812,0.7244777679443359,-7.306449890136719,-98.96177673339844,93.66720581054688,59.599952697753906,-10.072219848632812,0.7244777679443359,1.6960208741030658
0.272,0,-7.229697227478027,-99.0331802368164,93.69979095458984,59.60968017578125,-10.401695251464844,0.6857757568359375,-7.229697227478027,-99.0331802368164,93.69979095458984,59.60968017578125,-10.401695251464844,0.6857757568359375,1.6960208741030658
0.305,0,-7.360992431640625,-99.14796447753906,93.73135375976562,59.37297058105469,-10.611045837402344,0.6672821044921875,-7.360992431640625,-99.14796447753906,93.73135375976562,59.37297058105469,-10.611045837402344,0.6672821044921875,1.6960208741030658
0.337,0,-7.496018409729004,-99.36114501953125,93.71785736083984,59.24510192871094,-12.337417602539062,0.6063385009765625,-7.496018409729004,-99.36114501953125,93.71785736083984,59.24510192871094,-12.337417602539062,0.6063385009765625,1.5003261578604044
0.373,0,-7.475379943847656,-99.47026824951172,93.70140838623047,59.112022399902344,-12.815238952636719,0.5890712738037109,-7.475379943847656,-99.47026824951172,93.70140838623047,59.112022399902344,-12.815238952636719,0.5890712738037109,1.4350945857795172
0.412,0,-7.640026092529297,-99.48118591308594,93.77081298828125,58.59941864013672,-12.864471435546875,0.5928936004638672,-7.640026092529297,-99.48118591308594,93.77081298828125,58.59941864013672,-12.864471435546875,0.5928936004638672,1.36986301369863
0.440,0,-7.668154716491699,-99.46347045898438,93.81449127197266,58.11621856689453,-13.01190185546875,0.6170330047607422,-7.668154716491699,-99.46347045898438,93.81449127197266,58.11621856689453,-13.01190185546875,0.6170330047607422,1.36986301369863
0.472,0,-7.676216125488281,-99.56150817871094,93.87254333496094,57.58270263671875,-13.969688415527344,0.5874042510986328,-7.676216125488281,-99.56150817871094,93.87254333496094,57.58270263671875,-13.969688415527344,0.5874042510986328,1.36986301369863
0.508,0,-7.606971740722656,-99.61795806884766,94.00483703613281,56.69618225097656,-14.97955322265625,0.5785408020019531,-7.606971740722656,-99.61795806884766,94.00483703613281,56.69618225097656,-14.97955322265625,0.5785408020019531,1.36986301369863
0.544,0,-7.680243492126465,-99.5981674194336,94.17520904541016,55.75871276855469,-15.679611206054688,0.5838203430175781,-7.680243492126465,-99.5981674194336,94.17520904541016,55.75871276855469,-15.679611206054688,0.5838203430175781,1.36986301369863
0.573,0,-7.755315780639648,-99.59992980957031,94.32933044433594,54.803985595703125,-16.532089233398438,0.5829944610595703,-7.755315780639648,-99.59992980957031,94.32933044433594,54.803985595703125,-16.532089233398438,0.5829944610595703,1.36986301369863
0.606,0,-7.822281837463379,-99.6796875,94.48114013671875,53.871238708496094,-17.925922393798828,0.5631942749023438,-7.822281837463379,-99.6796875,94.48114013671875,53.871238708496094,-17.925922393798828,0.5631942749023438,1.36986301369863
0.640,0,-7.826396942138672,-99.71073913574219,94.61088562011719,53.04862976074219,-18.982093811035156,0.5559234619140625,-7.826396942138672,-99.71073913574219,94.61088562011719,53.04862976074219,-18.982093811035156,0.5559234619140625,1.36986301369863
0.673,0,-7.863761901855469,-99.72984313964844,94.76072692871094,52.17585754394531,-19.92889404296875,0.5510730743408203,-7.863761901855469,-99.72984313964844,94.76072692871094,52.17585754394531,-19.92889404296875,0.5510730743408203,1.36986301369863
0.706,0,-7.916731834411621,-99.74889373779297,94.89677429199219,51.307762145996094,-20.95999526977539,0.5407581329345703,-7.916731834411621,-99.74889373779297,94.89677429199219,51.307762145996094,-20.95999526977539,0.5407581329345703,1.36986301369863
0.741,0,-7.9798736572265625,-99.8185043334961,95.05508422851562,50.38966369628906,-22.509727478027344,0.5221405029296875,-7.9798736572265625,-99.8185043334961,95.05508422851562,50.38966369628906,-22.509727478027344,0.5221405029296875,1.36986301369863
0.775,0,-7.995240211486816,-99.86434936523438,95.19457244873047,49.56939697265625,-23.722206115722656,0.5094985961914062,-7.995240211486816,-99.86434936523438,95.19457244873047,49.56939697265625,-23.722206115722656,0.5094985961914062,1.36986301369863
0.807,0,-8.017786026000977,-99.88677215576172,95.33238983154297,48.756996154785156,-24.889205932617188,0.49863624572753906,-8.017786026000977,-99.88677215576172,95.33238983154297,48.756996154785156,-24.889205932617188,0.49863624572753906,1.36986301369863
0.849,0,-8.016759872436523,-99.90904235839844,95.44783020019531,48.011085510253906,-25.950775146484375,0.4913139343261719,-8.016759872436523,-99.90904235839844,95.44783020019531,48.011085510253906,-25.950775146484375,0.4913139343261719,1.36986301369863
0.875,0,-8.057676315307617,-99.97312927246094,95.59197235107422,47.13483428955078,-27.55600357055664,0.48680686950683594,-8.057676315307617,-99.97312927246094,95.59197235107422,47.13483428955078,-27.55600357055664,0.48680686950683594,1.36986301369863
0.922,0,-7.99448299407959,-100.00643157958984,95.68974304199219,46.425376892089844,-28.797447204589844,0.4903125762939453,-7.99448299407959,-100.00643157958984,95.68974304199219,46.425376892089844,-28.797447204589844,0.4903125762939453,1.36986301369863
0.950,0,-7.960837364196777,-100.03043365478516,95.80988311767578,45.72821044921875,-30.02654266357422,0.5108299255371094,-7.960837364196777,-100.03043365478516,95.80988311767578,45.72821044921875,-30.02654266357422,0.5108299255371094,1.36986301369863
1.013,0,-7.885494232177734,-100.05183410644531,95.90089416503906,45.055931091308594,-31.34789276123047,0.5800628662109375,-7.885494232177734,-100.05183410644531,95.90089416503906,45.055931091308594,-31.34789276123047,0.5800628662109375,1.36986301369863
1.043,0,-7.773555755615234,-100.09339904785156,96.00984191894531,44.309593200683594,-33.115989685058594,0.8154888153076172,-7.773555755615234,-100.09339904785156,96.00984191894531,44.309593200683594,-33.115989685058594,0.8154888153076172,1.36986301369863
1.073,0,-7.638213157653809,-100.12194061279297,96.09876251220703,43.612632751464844,-34.56111145019531,1.0318660736083984,-7.638213157653809,-100.12194061279297,96.09876251220703,43.612632751464844,-34.56111145019531,1.0318660736083984,1.36986301369863
1.112,0,-7.500685691833496,-100.15937805175781,96.17620849609375,43.021095275878906,-36.04589080810547,1.3244972229003906,-7.500685691833496,-100.15937805175781,96.17620849609375,43.021095275878906,-36.04589080810547,1.3244972229003906,1.36986301369863
1.140,0,-7.378307342529297,-100.23355865478516,96.24891662597656,42.458160400390625,-37.779422760009766,1.7267284393310547,-7.378307342529297,-100.23355865478516,96.24891662597656,42.458160400390625,-37.779422760009766,1.7267284393310547,1.36986301369863
1.181,0,-7.13607120513916,-100.30486297607422,96.3150634765625,41.82865905761719,-39.63933563232422,2.157632827758789,-7.13607120513916,-100.30486297607422,96.3150634765625,41.82865905761719,-39.63933563232422,2.157632827758789,1.36986301369863
