t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.404,0,-5.710251808166504,-101.40796661376953,95.1460952758789,56.659828186035156,-17.414581298828125,0.048274993896484375,-5.710251808166504,-101.40796661376953,95.1460952758789,70.16483516483517,3.1318681318681314,0.048274993896484375,1.0437051532941943
0.427,0,-5.83921480178833,-101.35625457763672,95.19468688964844,56.41210174560547,-17.586387634277344,0.045154571533203125,-5.83921480178833,-101.35625457763672,95.19468688964844,70.16483516483517,3.1318681318681314,0.045154571533203125,1.0437051532941943
0.461,0,-5.007821083068848,-101.6578369140625,95.4227294921875,55.96886444091797,-18.515792846679688,-0.08050727844238281,-5.007821083068848,-101.6578369140625,95.4227294921875,69.81318681318682,2.78021978021978,-0.08050727844238281,1.0437051532941943
0.496,0,-4.587084770202637,-101.85948181152344,95.510986328125,55.642921447753906,-19.331573486328125,-0.13677024841308594,-4.587084770202637,-101.85948181152344,95.510986328125,67.87912087912088,0.8461538461538458,-0.13677024841308594,0.91324200913242
0.527,0,-4.294992923736572,-101.88728332519531,95.60940551757812,55.213043212890625,-20.233741760253906,-0.16043663024902344,-4.294992923736572,-101.88728332519531,95.60940551757812,66.64835164835165,-0.4725274725274726,-0.16043663024902344,0.91324200913242
0.560,0,-4.403083324432373,-101.86853790283203,95.67861938476562,54.77599334716797,-20.738983154296875,-0.13082504272460938,-4.403083324432373,-101.86853790283203,95.67861938476562,65.50549450549451,-1.791208791208791,-0.13082504272460938,0.91324200913242
0.590,0,-4.161632537841797,-101.93492126464844,95.70603942871094,54.646636962890625,-20.998363494873047,-0.15751266479492188,-4.161632537841797,-101.93492126464844,95.70603942871094,63.92307692307692,-3.3736263736263736,-0.15751266479492188,0.91324200913242
0.627,0,-3.981001377105713,-101.9516830444336,95.74757385253906,54.42828369140625,-21.481964111328125,-0.1638774871826172,-3.981001377105713,-101.9516830444336,95.74757385253906,62.51648351648352,-5.131868131868132,-0.1638774871826172,0.91324200913242
0.662,0,-3.9560232162475586,-101.90852355957031,95.83137512207031,54.151885986328125,-21.778629302978516,-0.1374683380126953,-3.9560232162475586,-101.90852355957031,95.83137512207031,61.02197802197803,-6.714285714285714,-0.1374683380126953,0.91324200913242
0.698,0,-4.152071952819824,-101.88375091552734,95.893310546875,53.778724670410156,-22.87039566040039,-0.1277637481689453,-4.152071952819824,-101.88375091552734,95.893310546875,59.527472527472526,-8.384615384615385,-0.1277637481689453,0.91324200913242
0.726,0,-4.03439474105835,-101.92229461669922,95.9371109008789,53.5413818359375,-23.588237762451172,-0.1443157196044922,-4.03439474105835,-101.92229461669922,95.9371109008789,58.38461538461539,-9.703296703296704,-0.1443157196044922,0.91324200913242
0.761,0,-3.8877134323120117,-101.9400863647461,95.98651123046875,53.218544006347656,-24.40644073486328,-0.15642166137695312,-3.8877134323120117,-101.9400863647461,95.98651123046875,56.8021978021978,-11.197802197802197,-0.15642166137695312,0.91324200913242
0.791,0,-3.8142833709716797,-101.90660095214844,96.04694366455078,52.80799102783203,-25.303184509277344,-0.14536666870117188,-3.8142833709716797,-101.90660095214844,96.04694366455078,55.57142857142857,-12.692307692307693,-0.14536666870117188,0.91324200913242
