t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.198,0,-3.185873508453369,-101.63844299316406,93.5248794555664,65.59701538085938,-6.952262878417969,0.18514442443847656,-3.185873508453369,-101.63844299316406,93.5248794555664,72.45054945054945,-6.952262878417969,0.18514442443847656,0.8480104370515329
0.222,0,-4.824258327484131,-101.6342544555664,93.46611022949219,65.56975555419922,-8.969093322753906,0.10251617431640625,-4.824258327484131,-101.6342544555664,93.46611022949219,72.45054945054945,-8.969093322753906,0.10251617431640625,0.8480104370515329
0.258,0,-4.45543909072876,-101.6760482788086,93.64205169677734,65.3504638671875,-10.360061645507812,0.12057304382324219,-4.45543909072876,-101.6760482788086,93.64205169677734,71.83516483516483,-10.360061645507812,0.12057304382324219,0.8480104370515329
0.291,0,-4.2406721115112305,-101.66767120361328,93.72299194335938,65.16497802734375,-10.078964233398438,0.13691329956054688,-4.2406721115112305,-101.66767120361328,93.72299194335938,70.16483516483517,-10.078964233398438,0.13691329956054688,0.8480104370515329
0.325,0,-4.0201520919799805,-101.64888000488281,93.80480194091797,64.85541534423828,-10.581657409667969,0.155975341796875,-4.0201520919799805,-101.64888000488281,93.80480194091797,68.58241758241758,-10.581657409667969,0.155975341796875,0.8480104370515329
0.358,0,-4.406081676483154,-101.59906768798828,93.87027740478516,64.50537872314453,-11.498275756835938,0.1579723358154297,-4.406081676483154,-101.59906768798828,93.87027740478516,67.35164835164835,-11.498275756835938,0.1579723358154297,0.8480104370515329
0.392,0,-4.089024543762207,-101.5160140991211,94.03553771972656,63.79344177246094,-12.872200012207031,0.19342422485351562,-4.089024543762207,-101.5160140991211,94.03553771972656,65.68131868131869,-12.872200012207031,0.19342422485351562,0.8480104370515329
0.430,0,-3.946432113647461,-101.46805572509766,94.18585968017578,63.102806091308594,-13.552299499511719,0.2168121337890625,-3.946432113647461,-101.46805572509766,94.18585968017578,64.27472527472527,-13.552299499511719,0.2168121337890625,0.8480104370515329
0.457,0,-3.7231435775756836,-101.41714477539062,94.29431915283203,62.60310363769531,-14.353935241699219,0.24071884155273438,-3.7231435775756836,-101.41714477539062,94.29431915283203,63.21978021978022,-14.353935241699219,0.24071884155273438,0.8480104370515329
0.493,0,-3.8331446647644043,-101.35327911376953,94.39073181152344,62.06116485595703,-15.400177001953125,0.2556285858154297,-3.8331446647644043,-101.35327911376953,94.39073181152344,62.06116485595703,-15.400177001953125,0.2556285858154297,0.8480104370515329
0.527,0,-3.6499834060668945,-101.30802154541016,94.48322296142578,61.582481384277344,-16.14935302734375,0.2784862518310547,-3.6499834060668945,-101.30802154541016,94.48322296142578,61.582481384277344,-16.14935302734375,0.2784862518310547,0.8480104370515329
0.558,0,-3.501704692840576,-101.24907684326172,94.63310241699219,60.80682373046875,-17.478790283203125,0.2918682098388672,-3.501704692840576,-101.24907684326172,94.63310241699219,60.80682373046875,-17.478790283203125,0.2918682098388672,0.8480104370515329
0.600,0,-3.3750624656677246,-101.19928741455078,94.752197265625,60.195228576660156,-18.848007202148438,0.3049602508544922,-3.3750624656677246,-101.19928741455078,94.752197265625,60.195228576660156,-18.848007202148438,0.3049602508544922,0.8480104370515329
0.625,0,-3.458080291748047,-101.13605499267578,94.86257934570312,59.56175994873047,-20.240947723388672,0.3134880065917969,-3.458080291748047,-101.13605499267578,94.86257934570312,59.56175994873047,-20.240947723388672,0.3134880065917969,0.8480104370515329
0.663,0,-3.2464966773986816,-101.07673645019531,94.9808120727539,58.918304443359375,-21.594100952148438,0.3344078063964844,-3.2464966773986816,-101.07673645019531,94.9808120727539,58.918304443359375,-21.594100952148438,0.3344078063964844,0.8480104370515329
0.698,0,-3.1443915367126465,-101.03189086914062,95.08444213867188,58.38111114501953,-22.61480712890625,0.3515777587890625,-3.1443915367126465,-101.03189086914062,95.08444213867188,58.38111114501953,-22.61480712890625,0.3515777587890625,0.8480104370515329
0.733,0,-3.0337910652160645,-100.98777770996094,95.2091293334961,57.703880310058594,-24.09939193725586,0.36898231506347656,-3.0337910652160645,-100.98777770996094,95.2091293334961,57.703880310058594,-24.09939193725586,0.36898231506347656,0.8480104370515329
0.757,0,-3.1075844764709473,-100.95545959472656,95.29676818847656,57.18285369873047,-25.48019027709961,0.3755664825439453,-3.1075844764709473,-100.95545959472656,95.29676818847656,57.18285369873047,-25.48019027709961,0.3755664825439453,0.8480104370515329
0.803,0,-2.994222640991211,-100.90447998046875,95.42424011230469,56.490142822265625,-27.21432876586914,0.38814735412597656,-2.994222640991211,-100.90447998046875,95.42424011230469,56.490142822265625,-27.21432876586914,0.38814735412597656,0.8480104370515329
0.830,0,-2.934475898742676,-100.86282348632812,95.54100799560547,55.885032653808594,-28.68914794921875,0.39431190490722656,-2.934475898742676,-100.86282348632812,95.54100799560547,55.885032653808594,-28.68914794921875,0.39431190490722656,0.8480104370515329
0.866,0,-2.8791801929473877,-100.81793212890625,95.67149353027344,55.156028747558594,-30.570510864257812,0.401336669921875,-2.8791801929473877,-100.81793212890625,95.67149353027344,55.156028747558594,-30.186813186813186,0.401336669921875,0.8480104370515329
